,,,,,Unemployment_Rate : Total
Region, Date, Frequency, Estimated Unemployment Rate (%), Estimated Employed, Estimated Labour Participation Rate (%)
Uttarakhand, 31-08-2020, M, 14.26, 2717528.00, 35.90
Uttarakhand, 30-09-2020, M, 22.26, 2695230.00, 39.18
Uttarakhand, 31-10-2020, M, 9.23, 2739309.00, 34.03
Uttarakhand, 30-11-2020, M, 1.47, 2447664.00, 27.95
Uttarakhand, 31-12-2020, M, 5.19, 2647822.00, 31.36
Uttarakhand, 31-01-2021, M, 4.45, 2531098.00, 29.68
Uttarakhand, 28-02-2021, M, 4.69, 2775542.00, 32.56
Uttarakhand, 31-03-2021, M, 3.26, 2511431.00, 28.96
Uttarakhand, 30-04-2021, M, 5.96, 2852350.00, 33.77
Uttarakhand, 31-05-2021, M, 5.49, 2447140.00, 28.76
Uttarakhand, 30-06-2021, M, 4.81, 2822878.00, 32.87
Uttarakhand, 31-07-2021, M, 3.17, 2531701.00, 28.92
Uttarakhand, 31-08-2021, M, 6.22, 2774922.00, 32.65
Uttarakhand, 30-09-2021, M, 4.14, 2524240.00, 29.00
Uttarakhand, 31-10-2021, M, 3.34, 2872131.00, 32.65
Uttarakhand, 30-11-2021, M, 3.12, 2605053.00, 29.48
Uttarakhand, 31-12-2021, M, 5.01, 2780810.00, 32.03
Uttarakhand, 31-01-2022, M, 3.47, 2600359.00, 29.41
Uttarakhand, 28-02-2022, M, 4.58, 2723982.00, 31.10
Uttarakhand, 31-03-2022, M, 3.51, 2464361.00, 27.76
Uttarakhand, 30-04-2022, M, 5.33, 2755947.00, 31.58
Uttarakhand, 31-05-2022, M, 2.85, 2575497.00, 28.69
Uttarakhand, 30-06-2022, M, 8.67, 2707464.00, 32.01
Uttarakhand, 30-09-2022, M, 0.54, 2854248.00, 30.79
West Bengal, 31-01-2019, M, 6.95, 34442774.00, 46.58
West Bengal, 28-02-2019, M, 6.45, 35325211.00, 47.43
West Bengal, 31-03-2019, M, 6.10, 35655928.00, 47.61
West Bengal, 30-04-2019, M, 6.55, 35642390.00, 47.73
West Bengal, 31-05-2019, M, 6.43, 34759070.00, 46.40
West Bengal, 30-06-2019, M, 6.31, 36154978.00, 48.11
West Bengal, 31-07-2019, M, 6.32, 35637632.00, 47.34
West Bengal, 31-08-2019, M, 6.12, 36381326.00, 48.13
West Bengal, 30-09-2019, M, 6.41, 35681623.00, 47.26
West Bengal, 31-10-2019, M, 7.10, 34916695.00, 46.50
West Bengal, 30-11-2019, M, 6.06, 36398814.00, 47.85
West Bengal, 31-12-2019, M, 6.25, 36241930.00, 47.65
West Bengal, 31-01-2020, M, 6.94, 35820789.00, 47.35
West Bengal, 29-02-2020, M, 4.92, 36964178.00, 47.74
West Bengal, 31-03-2020, M, 6.92, 35903917.00, 47.27
West Bengal, 30-04-2020, M, 17.41, 26938836.00, 39.90
West Bengal, 31-05-2020, M, 17.41, 28356675.00, 41.92
West Bengal, 30-06-2020, M, 7.29, 30726310.00, 40.39
West Bengal, 31-07-2020, M, 6.83, 35372506.00, 46.17
West Bengal, 31-08-2020, M, 14.87, 33298644.00, 47.48
West Bengal, 30-09-2020, M, 9.31, 35877583.00, 47.93
West Bengal, 31-10-2020, M, 10.22, 33856332.00, 45.60
West Bengal, 30-11-2020, M, 11.24, 33420675.00, 45.45
West Bengal, 31-12-2020, M, 6.01, 35829652.00, 45.93
West Bengal, 31-01-2021, M, 5.25, 36563881.00, 46.40
West Bengal, 28-02-2021, M, 6.22, 37127736.00, 47.52
West Bengal, 31-03-2021, M, 7.51, 35827410.00, 46.41
West Bengal, 30-04-2021, M, 7.63, 34849346.00, 45.11
West Bengal, 31-05-2021, M, 19.34, 28897052.00, 42.75
West Bengal, 30-06-2021, M, 22.14, 30440202.00, 46.57
West Bengal, 31-07-2021, M, 7.37, 35267884.00, 45.26
West Bengal, 31-08-2021, M, 7.41, 35376844.00, 45.34
West Bengal, 30-09-2021, M, 6.80, 36442890.00, 46.31
West Bengal, 31-10-2021, M, 5.60, 36583286.00, 45.81
West Bengal, 30-11-2021, M, 6.68, 35748702.00, 45.20
West Bengal, 31-12-2021, M, 7.33, 35652535.00, 45.31
West Bengal, 31-01-2022, M, 6.43, 36913541.00, 46.37
West Bengal, 28-02-2022, M, 6.27, 36465383.00, 45.65
West Bengal, 31-03-2022, M, 5.57, 35396256.00, 43.90
West Bengal, 30-04-2022, M, 6.25, 35900743.00, 44.76
West Bengal, 31-05-2022, M, 5.75, 37816306.00, 46.81
West Bengal, 30-06-2022, M, 5.23, 36584378.00, 44.95
West Bengal, 31-07-2022, M, 6.26, 35776902.00, 44.36
West Bengal, 31-08-2022, M, 7.39, 35811552.00, 44.85
West Bengal, 30-09-2022, M, 3.28, 36835286.00, 44.09
India, 31-01-2019, M, 6.86, 406093726.00, 43.29
India, 28-02-2019, M, 7.20, 399913970.00, 42.71
India, 31-03-2019, M, 6.65, 402600865.00, 42.66
India, 30-04-2019, M, 7.35, 399248195.00, 42.54
India, 31-05-2019, M, 7.03, 403703192.00, 42.78
India, 30-06-2019, M, 7.87, 400337390.00, 42.73
India, 31-07-2019, M, 7.34, 403064278.00, 42.69
India, 31-08-2019, M, 8.19, 403245519.00, 43.02
India, 30-09-2019, M, 7.14, 406718757.00, 42.81
India, 31-10-2019, M, 8.10, 404124236.00, 42.90
India, 30-11-2019, M, 7.23, 403049912.00, 42.30
India, 31-12-2019, M, 7.60, 405647546.00, 42.66
India, 31-01-2020, M, 7.22, 410473913.00, 42.90
India, 29-02-2020, M, 7.76, 405954169.00, 42.60
India, 31-03-2020, M, 8.75, 395840756.00, 41.90
India, 30-04-2020, M, 23.52, 282203816.00, 35.57
India, 31-05-2020, M, 21.73, 313793837.00, 38.57
India, 30-06-2020, M, 10.18, 376993536.00, 40.30
India, 31-07-2020, M, 7.40, 392341064.00, 40.61
India, 31-08-2020, M, 8.35, 392520303.00, 40.96
India, 30-09-2020, M, 6.68, 397739844.00, 40.68
India, 31-10-2020, M, 7.02, 396450375.00, 40.62
India, 30-11-2020, M, 6.50, 394133855.00, 40.08
India, 31-12-2020, M, 9.06, 388777142.00, 40.56
India, 31-01-2021, M, 6.52, 400709258.00, 40.59
India, 28-02-2021, M, 6.89, 398213434.00, 40.43
India, 31-03-2021, M, 6.50, 398145073.00, 40.17
India, 30-04-2021, M, 7.97, 390790128.00, 39.98
India, 31-05-2021, M, 11.84, 375727008.00, 40.04
India, 30-06-2021, M, 9.17, 383469051.00, 39.59
India, 31-07-2021, M, 6.96, 399714145.00, 40.21
India, 31-08-2021, M, 8.32, 397784327.00, 40.52
India, 30-09-2021, M, 6.86, 406104468.00, 40.64
India, 31-10-2021, M, 7.74, 400886546.00, 40.42
India, 30-11-2021, M, 6.97, 402664041.00, 40.19
India, 31-12-2021, M, 7.91, 406012456.00, 40.85
India, 31-01-2022, M, 6.56, 402616049.00, 39.84
India, 28-02-2022, M, 8.11, 397057157.00, 39.89
India, 31-03-2022, M, 7.57, 395969754.00, 39.46
India, 30-04-2022, M, 7.83, 402949020.00, 40.19
India, 31-05-2022, M, 7.14, 403886697.00, 39.90
India, 30-06-2022, M, 7.83, 390822128.00, 38.83
India, 31-07-2022, M, 6.83, 397050067.00, 38.94
India, 31-08-2022, M, 8.28, 394606374.00, 39.24
India, 30-09-2022, M, 6.43, 404226503.00, 39.32
