,antecedents,consequents,antecedent support,consequent support,support,confidence,lift,leverage,conviction
11,frozenset({'canada_inflation_rate'}),"frozenset({'inflation_rate', 'canada_unemployment_rates'})",0.6888888888888889,0.6,0.4888888888888889,0.7096774193548387,1.1827956989247312,0.07555555555555554,1.377777777777778
12,frozenset({'inflation_rate'}),frozenset({'reproduction_rate'}),0.7555555555555555,0.6,0.5333333333333333,0.7058823529411765,1.1764705882352942,0.08000000000000002,1.3600000000000003
13,frozenset({'reproduction_rate'}),frozenset({'inflation_rate'}),0.6,0.7555555555555555,0.5333333333333333,0.888888888888889,1.1764705882352942,0.08000000000000002,2.2000000000000015
14,frozenset({'canada_inflation_rate'}),frozenset({'reproduction_rate'}),0.6888888888888889,0.6,0.4888888888888889,0.7096774193548387,1.1827956989247312,0.07555555555555554,1.377777777777778
15,frozenset({'reproduction_rate'}),frozenset({'canada_inflation_rate'}),0.6,0.6888888888888889,0.4888888888888889,0.8148148148148148,1.182795698924731,0.07555555555555554,1.6799999999999997
16,frozenset({'reproduction_rate'}),frozenset({'canada_unemployment_rates'}),0.6,0.7555555555555555,0.4888888888888889,0.8148148148148148,1.0784313725490196,0.03555555555555556,1.3199999999999998
17,"frozenset({'canada_inflation_rate', 'inflation_rate'})",frozenset({'reproduction_rate'}),0.5555555555555556,0.6,0.4444444444444444,0.7999999999999999,1.3333333333333333,0.1111111111111111,1.9999999999999996
18,"frozenset({'canada_inflation_rate', 'reproduction_rate'})",frozenset({'inflation_rate'}),0.4888888888888889,0.7555555555555555,0.4444444444444444,0.9090909090909091,1.2032085561497325,0.0750617283950617,2.688888888888888
19,"frozenset({'inflation_rate', 'reproduction_rate'})",frozenset({'canada_inflation_rate'}),0.5333333333333333,0.6888888888888889,0.4444444444444444,0.8333333333333333,1.2096774193548385,0.07703703703703701,1.8666666666666658
20,frozenset({'reproduction_rate'}),"frozenset({'canada_inflation_rate', 'inflation_rate'})",0.6,0.5555555555555556,0.4444444444444444,0.7407407407407407,1.3333333333333333,0.1111111111111111,1.714285714285714
21,"frozenset({'canada_inflation_rate', 'canada_unemployment_rates'})",frozenset({'reproduction_rate'}),0.5777777777777777,0.6,0.4222222222222222,0.7307692307692308,1.217948717948718,0.0755555555555556,1.4857142857142862
22,"frozenset({'canada_inflation_rate', 'reproduction_rate'})",frozenset({'canada_unemployment_rates'}),0.4888888888888889,0.7555555555555555,0.4222222222222222,0.8636363636363636,1.143048128342246,0.0528395061728395,1.792592592592593
23,"frozenset({'canada_unemployment_rates', 'reproduction_rate'})",frozenset({'canada_inflation_rate'}),0.4888888888888889,0.6888888888888889,0.4222222222222222,0.8636363636363636,1.2536656891495601,0.08543209876543212,2.2814814814814817
24,frozenset({'reproduction_rate'}),"frozenset({'canada_inflation_rate', 'canada_unemployment_rates'})",0.6,0.5777777777777777,0.4222222222222222,0.7037037037037037,1.217948717948718,0.0755555555555556,1.4250000000000003
25,"frozenset({'inflation_rate', 'canada_unemployment_rates'})",frozenset({'reproduction_rate'}),0.6,0.6,0.4222222222222222,0.7037037037037037,1.1728395061728396,0.062222222222222234,1.35
26,"frozenset({'inflation_rate', 'reproduction_rate'})",frozenset({'canada_unemployment_rates'}),0.5333333333333333,0.7555555555555555,0.4222222222222222,0.7916666666666666,1.0477941176470589,0.019259259259259254,1.1733333333333331
